ts,symbol,mint,side,usd,price,reason,pnl
2026-07-23T12:43:26.248153+00:00,ROP,6ctwkKWsuB2VQmvAQXsRAJHQrhunQCDSatAVigWWpump,buy,3.0,5.246772e-05,entry:fresh,0.0
2026-07-23T12:43:26.607818+00:00,Mouse,3wwU3njdLCT3ebRUrTFeHwKG6zamiiCKwmpShSK2pump,buy,3.0,4.193142e-05,entry:fresh,0.0
2026-07-23T12:46:53.827719+00:00,CAGE,gF2fSfar4x1BiZ9n2MLMAVYVWQYzxpsrXC6hGV7pump,buy,2.9722,0.001047522,entry:fresh,0.0
2026-07-23T12:47:44.433239+00:00,ROP,6ctwkKWsuB2VQmvAQXsRAJHQrhunQCDSatAVigWWpump,sell,1.4863,2.599354e-05,stop-loss,-1.5137
2026-07-23T12:51:10.928503+00:00,Jimothy2.0,HBjaduVGUFukW2TT8DSwSdqLbBAW8uSJUxek2GfTpump,buy,2.9564,0.0001433344,entry:fresh,0.0
2026-07-23T12:52:53.038286+00:00,ROP,6ctwkKWsuB2VQmvAQXsRAJHQrhunQCDSatAVigWWpump,buy,2.9244,3.402156e-05,entry:fresh,0.0
2026-07-23T13:00:46.636900+00:00,CAGE,gF2fSfar4x1BiZ9n2MLMAVYVWQYzxpsrXC6hGV7pump,sell,4.9122,0.001731266,take-profit,1.94
2026-07-23T13:00:47.521178+00:00,CAGE,gF2fSfar4x1BiZ9n2MLMAVYVWQYzxpsrXC6hGV7pump,buy,2.9765,0.001794734,entry:fresh,0.0
2026-07-23T13:12:53.495131+00:00,ROP,6ctwkKWsuB2VQmvAQXsRAJHQrhunQCDSatAVigWWpump,sell,2.0478,2.382332e-05,stop-loss,-0.8766
2026-07-23T13:12:53.496135+00:00,CAGE,gF2fSfar4x1BiZ9n2MLMAVYVWQYzxpsrXC6hGV7pump,sell,3.4233,0.002064164,trailing-stop,0.4468
2026-07-23T13:12:54.662725+00:00,MEMIPEDE,6LLNiWXRZp8hn5oTFTHEo8ERbJS3QJfHSKhnTCqipump,buy,2.9779,0.0003261672,entry:fresh,0.0
2026-07-23T13:21:53.794142+00:00,CAGE,gF2fSfar4x1BiZ9n2MLMAVYVWQYzxpsrXC6hGV7pump,buy,2.9397,0.001952524,entry:fresh,0.0
2026-07-23T13:27:48.402241+00:00,CAGE,gF2fSfar4x1BiZ9n2MLMAVYVWQYzxpsrXC6hGV7pump,sell,5.018,0.003332908,take-profit,2.0783
2026-07-23T13:27:49.427008+00:00,CAGE,gF2fSfar4x1BiZ9n2MLMAVYVWQYzxpsrXC6hGV7pump,buy,3.0798,0.003455092,entry:fresh,0.0
2026-07-23T13:36:13.456581+00:00,CAGE,gF2fSfar4x1BiZ9n2MLMAVYVWQYzxpsrXC6hGV7pump,sell,4.9719,0.00557776,take-profit,1.8921
2026-07-23T13:36:14.733086+00:00,CAGE,gF2fSfar4x1BiZ9n2MLMAVYVWQYzxpsrXC6hGV7pump,buy,3.1954,0.00578224,entry:fresh,0.0
2026-07-23T13:45:34.482433+00:00,CAGE,gF2fSfar4x1BiZ9n2MLMAVYVWQYzxpsrXC6hGV7pump,sell,2.2765,0.00411949,stop-loss,-0.9189
2026-07-23T13:45:35.221526+00:00,Sagawa,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,buy,3.1021,1.391606e-05,entry:fresh,0.0
2026-07-23T14:27:05.423975+00:00,Jimothy2.0,HBjaduVGUFukW2TT8DSwSdqLbBAW8uSJUxek2GfTpump,sell,2.1369,0.000103601,stop-loss,-0.8195
2026-07-23T14:32:17.093901+00:00,Mouse,3wwU3njdLCT3ebRUrTFeHwKG6zamiiCKwmpShSK2pump,sell,2.1492,3.003938e-05,stop-loss,-0.8508
2026-07-23T14:33:10.056133+00:00,BOME,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,buy,3.0433,0.000448938,entry:established,0.0
2026-07-23T14:35:46.686693+00:00,TRASHCOIN,HQz4DSDrvgiSeEALGJv1gzSxJx4xfAdigG89pZqMpump,buy,3.0403,8.139928e-05,entry:fresh,0.0
2026-07-23T15:00:14.180543+00:00,MEMIPEDE,6LLNiWXRZp8hn5oTFTHEo8ERbJS3QJfHSKhnTCqipump,sell,2.1168,0.0002318502,stop-loss,-0.8611
2026-07-23T15:00:15.237175+00:00,Syrax,GD8cdLqU3HU8FfsQDAKU1vDrewciZC2WgRfs2yAspump,buy,3.0101,0.0001139142,entry:fresh,0.0
2026-07-23T15:57:50.217442+00:00,Syrax,GD8cdLqU3HU8FfsQDAKU1vDrewciZC2WgRfs2yAspump,sell,3.1995,0.0001210806,trailing-stop,0.1894
2026-07-23T15:58:41.878437+00:00,CCAT,GsRDb9dom6GEQgeMx3V41qU1ntJpRgGdzkXxFRvspump,buy,3.0432,7.682846e-05,entry:fresh,0.0
2026-07-23T16:01:13.591807+00:00,CCAT,GsRDb9dom6GEQgeMx3V41qU1ntJpRgGdzkXxFRvspump,sell,2.0806,5.252718e-05,stop-loss,-0.9626
2026-07-23T16:01:14.311388+00:00,ROP,6ctwkKWsuB2VQmvAQXsRAJHQrhunQCDSatAVigWWpump,buy,2.9857,4.202304e-05,entry:fresh,0.0
2026-07-23T16:08:51.179546+00:00,TRASHCOIN,HQz4DSDrvgiSeEALGJv1gzSxJx4xfAdigG89pZqMpump,sell,2.1911,5.866468e-05,stop-loss,-0.8491
2026-07-23T16:08:52.096934+00:00,CCAT,GsRDb9dom6GEQgeMx3V41qU1ntJpRgGdzkXxFRvspump,buy,2.987,5.901346e-05,entry:fresh,0.0
2026-07-23T16:49:39.535887+00:00,CCAT,GsRDb9dom6GEQgeMx3V41qU1ntJpRgGdzkXxFRvspump,sell,4.7055,9.296594e-05,take-profit,1.7185
2026-07-23T16:49:40.299451+00:00,UNCLEAR,qXjNksWUsHjK7QUsKb7RkEnEddtS44nUriV4ny9pump,buy,3.0583,0.000331359,entry:fresh,0.0
2026-07-23T16:59:52.779808+00:00,UNCLEAR,qXjNksWUsHjK7QUsKb7RkEnEddtS44nUriV4ny9pump,sell,3.2918,0.0003566624,trailing-stop,0.2335
